gps_time,alt,amb,ch4,ch4d,co,co2,co2d,cod,cog,gasp,h2o,hdop,heading,lat,lon,pressure,rd1,rd2,sog,t,temp,wd_corr,wd_uncorr,ws_corr,ws_uncorr
2018-10-13 03:10:01.299999,263.841938357,amb[ii],1.9490496019,1.96927988684,co[ii],414.01254331,419.925118212,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8846989998,-79.5192503666,973.8,rd1[ii],rd2[ii],sog[jj],t[ii],5.2,wd_corr[jj],358.0,ws_corr[jj],16.1
2018-10-13 03:10:02.500000,264.959859212,amb[ii],1.948539541,1.96876842207,co[ii],414.01254331,419.925118212,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.884891,-79.5192931667,973.7,rd1[ii],rd2[ii],sog[jj],t[ii],5.2,wd_corr[jj],357.0,ws_corr[jj],15.8
2018-10-13 03:10:05.799999,263.882105044,amb[ii],1.948539541,1.96876842207,co[ii],410.73058074,416.588200171,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8852985999,-79.5193677,973.6,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],354.0,ws_corr[jj],15.7
2018-10-13 03:10:07.100000,263.307836831,amb[ii],1.9518535482,1.97209155057,co[ii],410.73058074,416.588200171,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8854541667,-79.5193953,973.5,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.2
2018-10-13 03:10:10.299999,265.562085883,amb[ii],1.9518535482,1.97209155057,co[ii],411.26025531,417.126743982,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8859387999,-79.5194976,973.4,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.6
2018-10-13 03:10:11.799999,264.181226508,amb[ii],2.0229911094,2.04342490702,co[ii],411.26025531,417.126743982,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8861627999,-79.5195306,973.3,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],357.0,ws_corr[jj],16.9
2018-10-13 03:10:15.200000,260.897116042,amb[ii],2.0229911094,2.04342490702,co[ii],410.68339862,416.540228002,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8865268,-79.5196131,973.1,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.7
2018-10-13 03:10:16.399999,259.708341541,amb[ii],1.9557919842,1.97604082651,co[ii],410.68339862,416.540228002,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8866275999,-79.5196437,973.0,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],356.0,ws_corr[jj],16.5
2018-10-13 03:10:19.600000,260.019181282,amb[ii],1.9557919842,1.97604082651,co[ii],408.63247152,414.454958741,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8868539333,-79.5196295333,972.9,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],355.0,ws_corr[jj],16.9
2018-10-13 03:10:20.900000,259.822485316,amb[ii],1.9603317284,1.98059306566,co[ii],408.63247152,414.454958741,cod[ii],cog[jj],gasp[ii],0.98308563013,hdop[jj],heading[jj],43.8869176,-79.5195689,972.9,rd1[ii],rd2[ii],sog[jj],t[ii],5.1,wd_corr[jj],357.0,ws_corr[jj],16.9
